epoch,startTimestamp,lockTimestamp,closeTimestamp,lockPrice,closePrice,lockOracleId,closeOracleId,totalAmount,bullAmount,bearAmount,rewardBaseCalAmount,rewardAmount,oracleCalled
59,1704814215,1704816015,1704817815,4689726700000,4683353000000,36893488147419337253,36893488147419337265,0,0,0,0,0,True
60,1704816015,1704817815,1704819615,4683353000000,0,36893488147419337265,0,0,0,0,0,0,False
61,1704817815,1704819615,1704823213,4684500000000,4674800765000,36893488147419337289,36893488147419337301,0,0,0,0,0,True
62,1704821413,1704823213,1704825013,4674800765000,0,36893488147419337301,0,0,0,0,0,0,False
63,1704823213,1704825013,1704828611,4664982524000,4673435992000,36893488147419337325,36893488147419337337,0,0,0,0,0,True
64,1704826811,1704828611,1704830419,4673435992000,0,36893488147419337337,0,0,0,0,0,0,False
65,1704828619,1704830419,1704834013,4676636700000,4662100000000,36893488147419337361,36893488147419337373,0,0,0,0,0,True
66,1704832213,1704834013,1704835813,4662100000000,0,36893488147419337373,0,0,0,0,0,0,False
67,1704834013,1704835813,1704839412,4549886000000,0,36893488147419337402,0,0,0,0,0,0,False
68,1704837612,1704839412,1704843013,4622207364090,0,36893488147419337426,0,0,0,0,0,0,False
69,1704841213,1704843013,1704846613,4613289412424,0,36893488147419337450,0,0,0,0,0,0,False
